濛	水草丶
咀	口丨乛一
踞	口丨乛一
炬	丶丿一乛
掬	手丿乛
遽	丨一丶乛
倨	人乛一丿
雎	丨乛人丶
钜	金一乛
踽	口丨丿丨
裾	丶乛乛一
琚	一一乛一
疽	丶一丨乛
莒	草口口
龃	丨一丨乛
苣	草一乛
榉	木丶丶丿
讵	丶乛一乛
苴	草丨乛
鞫	一丨丿乛
焗	丶丿乛一
椐	木乛一丿
锔	金乛一
筥	未知
屦	乛一丿丿
窭	丶丶丶丿
醵	一丨丨一
蒟	草丶一
犋	丿一丨乛
澽	未知
娵	未知
秬	未知
崌	未知
岠	未知
砠	未知
腒	未知
弆	未知
泃	未知
岨	未知
趄	土丨乛
䴗	未知
卷	丶丿乛乛
娟	乛丿口月
倦	人丶丿一
捐	手口月
眷	丶丿丨乛
绢	乛乛口月
鹃	口月丿乛
涓	水口月月
圈	丨乛丶丿
隽	人丶乛丿
镌	金人丶
蠲	丶丿丨乛
狷	丿乛口月
鄄	一丨乛丨
锩	金丶丿
桊	丶丿木木
焆	未知
绝	乛乛丿乛
决	丶一乛一
爵	丿丶乛一
诀	丶乛乛一
掘	手乛一
厥	一丿丶丿
倔	人乛一丿
撅	手一丿
珏	一一一一
崛	丨乛乛一
抉	手乛一
噘	口一丿丶
攫	手丨乛
谲	丶乛乛丶
獗	丿乛一丿
蹶	口丨一丿
傕	人丶乛丿
蕨	草一丿
矍	丨乛人丶
橛	木一丿丶
镢	金一丿
玦	一一乛一
孓	乛丨丶丶
桷	木丿乛丿
觖	丿乛乛一
爝	丶丿丿丶
劂	一丿丨丨
玃	未知
砄	未知
㵐	未知
均	土丿乛
君	乛一口口
军	丶乛一乛
俊	人乛丶丿
郡	乛一乛丨
峻	丨乛乛丶
钧	金丿乛
骏	乛乛乛丶
菌	草丨乛
竣	丶一乛丶
浚	水乛丶丿
珺	未知
麇	丶一丿一
皲	丶乛乛丿
焌	未知
葰	未知
捃	手乛一
畯	未知
莙	未知
晙	未知
筠	丿一土
鲪	丿乛乛一
䐃	未知
卡	丨一一丨
喀	口丶丶乛
咔	口丨一一
胩	月丨一一
开	一一丿丨
凯	丨乛丿乛
慨	丶丶乛一
铠	金丨乛
恺	丶丶丨乛
揩	手一乛
锴	金一乛
忾	丶丶丿一
闿	未知
剀	丨乛丨丨
垲	土丨乛
锎	金丶丨
炌	未知
蒈	草一乛
看	丿一丨乛
堪	土一丨
砍	一丿丿乛
刊	一一丨丨
侃	人口丿丨
坎	土丿乛
勘	一丨乛丿
阚	丶丨乛一
瞰	丨乛乛一
龛	人一一丿
戡	一丨一乛
崁	未知
莰	草土
衎	未知
磡	一丿一丨
嵁	未知
墈	土一丨
抗	手丶一
康	丶一乛一
亢	丶一丿乛
炕	丶丿丶一
慷	丶丶丶一
糠	丶丿丶一
伉	人丶一丿
钪	金丶一
闶	丶丨丶一
靠	丿一丨一
考	十一乛
烤	丶丿十
铐	金十
拷	手十
犒	丿一丶一
尻	乛一丿乛
栲	木十一
㸆	丶丿丿一
洘	水十
可	一口丨丨
刻	丶一丨丨
克	十口丿
客	丶丶丿乛
科	丿一丶丶
课	丶乛丨乛
颗	丨乛一丿
渴	水日丿
柯	木一口丨
棵	木丨乛一
壳	士丿乛
氪	丿一十
磕	一丿土
嗑	口土乛
珂	一一一口
苛	草一口
轲	一乛一口
瞌	丨乛土
坷	土一口
恪	丶丶丿乛
蝌	丨乛丿一
颏	丶一一丿
窠	丶丶丨乛
稞	丿一丨乛
溘	水土乛
疴	丶一一口
岢	丨乛一口
锞	金丨乛
髁	丨乛丨乛
骒	乛乛丨乛
缂	乛乛一丨
牁	未知
匼	未知
炣	未知
剋	十口丨丨
肯	丨一月月
恳	乛一丶乛
啃	口丨一丨
垦	乛一土
裉	丶乛乛一
坑	土丶一
铿	金丨丨
硁	未知
空	丶丶一丨
恐	一丨丶乛
控	手丶丶
孔	乛丨乛乛
崆	丨乛丶丶
箜	丿一丶丶
倥	人丶丶乛
硿	未知
埪	未知
口	口口
扣	手口口
寇	丶丶一一
叩	口乛丨丨
抠	手一丿
蔻	草丶丶
芤	草乛丨
筘	丿一手
眍	丨乛一丿
苦	草十
哭	口丨一丿
酷	一丨丿一
库	丶一一乛
裤	丶乛丶一
枯	木十口
骷	丨乛十
窟	丶丶乛一
绔	乛乛一丿
喾	丶丶丿一
刳	一丿丨丨
矻	未知
圐	未知
夸	一丿一一
跨	口丨一丿
垮	土一丿
胯	月一丿丶
挎	手一丿
侉	人一丿丶
姱	未知
快	丶丶乛一
块	土乛一
筷	丿一丶丶
蒯	草丨丨
哙	口人一一
侩	人人一一
脍	月人一一
狯	丿乛人一
郐	人一乛丨
鲙	丿乛人一
㧟	未知
宽	丶丶草
款	士丿乛
髋	丨乛丶丶
况	丶一口丿
狂	丿乛一一
矿	一丿丶一
旷	日丶一
眶	丨乛一一
框	木一一一
匡	一一一丨
筐	丿一一一
哐	口一一一
邝	丶一乛丨
诳	丶乛丿乛
诓	丶乛一一
圹	土丶一
纩	乛乛丶一
贶	贝口丿
夼	一丿丿丨
洭	未知
亏	一一乛乛
愧	丶丶丿丨
盔	一丿丨乛
魁	丿丨丶丶
窥	丶丶一一
奎	一丿土
葵	草乛丶
傀	人丿丨乛
睽	丨乛乛丶
馈	丿乛丨乛
逵	土丶乛
馗	丿乛丶丿
匮	一丨乛一
喟	口丨乛一
夔	丶丿丿丨
篑	丿一丨乛
岿	丨乛丨丿
揆	手乛丶
聩	一丨丨乛
跬	口丨土
愦	丶丶丨乛
悝	丶丶丨乛
蝰	丨乛一丿
暌	日乛丶
蒉	草丨乛
櫆	未知
骙	未知
喹	口一丿丶
煃	未知
戣	未知
困	丨乛木木
昆	日一乛
坤	土丨乛
捆	手丨乛
鲲	丿乛日
琨	一一日
锟	金日
髡	一丨一丿
阃	丶丨丨乛
悃	丶丶丨乛
堃	丶一土
焜	未知
壸	未知
鹍	日丿乛
裈	未知
醌	一丨日
婫	乛丿日一
括	手丿一
扩	手丶一
阔	丶丨水丿
廓	丶一丶一
蛞	丨乛丿一
啦	口手丶
拉	手丶一
辣	丶一一丨
垃	土丶一
腊	月一丨丨
喇	口一丨乛
蜡	丨乛一丨
落	草水丿
剌	一丨丨丨
邋	乛乛丶乛
旯	日丿乛
瘌	丶一一丨
砬	一丿丶一
镴	金乛乛
蝲	未知
鞡	未知
来	一丶丿一
莱	草一丶
赖	一丨丿乛
籁	丿一一丨
睐	丨乛一丶
癞	丶一一丨
濑	水一丨乛
徕	丿丿一丶
崃	丨乛一丶
涞	水一丶丿
赉	一丶贝
俫	人一丶
铼	金一丶
梾	木一丶
蓝	草丨丨
烂	丶丿丶丿
懒	丶丶一丨
拦	手丶丿
篮	丿一丨丨
岚	丨乛丿乛
兰	丶丿一一
栏	木丶丿一
览	丨丨丨乛
澜	水丶丨乛
揽	手丨丨
滥	水丨丨丿
婪	木一乛丿
阑	丶丨一丨
榄	木丨丨丿
斓	丶一丶丨
缆	乛乛丨丨
褴	丶乛丨丨
谰	丶乛丶丨
罱	丨乛十
襕	丶乛丶丨
镧	金丶丨
漤	水木一乛
狼	丿乛丶乛
浪	水丶乛一
郎	丶乛乛丨
朗	丶乛月月
廊	丶一丶乛
螂	丨乛丶乛
琅	一一丶乛
啷	口丶乛一
榔	木丶乛一
锒	金丶乛
阆	丶丨丶乛
烺	未知
蒗	草水丶
莨	草丶乛
稂	丿一丶乛
崀	丨乛丶乛
㫰	日丶乛
㮾	未知
埌	土丶乛
塱	丶乛土
桹	木丶乛
筤	未知
蓢	草丶乛
老	十丿乛
劳	草乛丿
牢	丶丶丿一
姥	乛丿十
捞	手草
唠	口草丶
佬	人十一
烙	丶丿丿乛
酪	一丨丿乛
涝	水草丶
崂	丨乛草
嫪	未知
痨	丶一草
醪	一丨乛丶
栳	木十一
铑	金一丨
耢	一一草
荖	未知
铹	金草
络	乛乛丿乛
了	乛丨丨
乐	丿乛丨丿
勒	一丨乛丿
叻	口乛丿丿
泐	水乛丨乛
鳓	丿乛一丨
仂	人乛丿丿
簕	未知
嘞	口一丨丨
雷	一丶丨乛
类	丶丿一丿
泪	水丨乛一
累	丨乛乛乛
蕾	草一丶
磊	一丿一丿
垒	乛丶土
擂	手一丶
肋	月乛丿丿
儡	人丨乛一
镭	金一丶
羸	丶一口月
檑	木一丶乛
耒	一一一丨
诔	丶乛一一
嫘	乛丿丨乛
酹	一丨丿丶
缧	乛乛丨乛
礌	未知
罍	未知
藟	未知
癗	未知
冷	丶一人丶
愣	丶丶丨乛
楞	木丨乛丨
棱	木土丿
塄	土丨乛
崚	未知
堎	未知
里	丨乛一一
力	乛丿丿
理	一一丨乛
李	木乛丨一
立	丶一丶丿
离	丶一丨乛
利	丿一丨丨
梨	丿一木木
丽	一丨乛丶
历	一丿乛丿
礼	丶乛乛乛
厉	一丿一乛
例	人一丿乛
莉	草丿一
黎	丿一人水
璃	一一丶一
励	一丿乛丿
哩	口丨乛一
狸	丿乛丨乛
粒	丶丿丶一
隶	乛一一丨
吏	一丨乛一
栗	一丨木木
漓	水丶一丿
雳	一丶一丿
厘	一丿丨乛
俐	人丿一丨
笠	丿一丶一
沥	水一丿乛
篱	丿一丶一
戾	丶乛一丿
鲤	丿乛丨乛
犁	丿一丿一
砾	一丿丿乛
荔	草乛丿
砺	一丿一丿
郦	一丨乛丨
藜	草丿一
骊	乛乛一丨
俪	人一丨乛
鹂	一丨丿乛
蠡	乛乛丨乛
栎	木丿乛丨
唳	口丶乛一
喱	口一丿丨
罹	丨乛丶丶
痢	丶一丿一
莅	草人丶
俚	人丨乛一
逦	一丨丶乛
呖	口一丿乛
蛎	丨乛一丿
猁	丿乛丿一
澧	水丨乛一
醴	一丨丨乛
娌	乛丿丨乛
蓠	草丶一
詈	丨乛丶一
黧	丿一丨乛
蜊	丨乛丿一
缡	乛乛丶一
傈	人一丨乛
枥	木一丿乛
溧	水一丨乛
坜	土一丿
疠	丶一一乛
粝	丶丿一丿
嫠	一一一丿
锂	金丨乛
篥	丿一一丨
轹	一乛丿乛
鲡	丿乛一丨
疬	丶一一丿
苈	草一丿
浬	未知
跞	口丨丿乛
浰	未知
鳢	丿乛丨乛
醨	未知
凓	未知
朸	未知
㰀	未知
珕	未知
俩	人一丨乛
连	一乛丶乛
脸	月人一丶
联	一丨丶丿
练	乛乛一乛
恋	丶一丶乛
怜	丶丶人丶
炼	丶丿一乛
莲	草一乛
链	金一乛
帘	丶丶丨乛
廉	丶一丶丿
敛	人一丿一
涟	水一乛一
镰	金丶一
琏	一一一乛
濂	水丶一丿
潋	水人一丿
殓	一丿人一
奁	一丿一丿
裢	丶乛一乛
楝	木一丨乛
裣	丶乛人一
鲢	丿乛一乛
梿	未知
蠊	丨乛丶一
蔹	草人一
瑓	未知
两	一丨乛丿
量	日丨乛
亮	丶一丿乛
良	丶乛一一
凉	丶一丶一
梁	水丿木木
辆	一乛一丨
粮	丶丿丶乛
谅	丶乛丶一
踉	口丨丶乛
晾	日丶一
粱	水丿丶丿
魉	丿丨一丨
椋	木丶一口
辌	一乛丶一
墚	土水丿
悢	未知
俍	未知
聊	一丨丿乛
料	丶丿丶丶
疗	丶一乛丨
辽	乛丨丶乛
廖	丶一乛丶
撩	手一丿
寥	丶丶乛丶
僚	人一丿丶
缭	乛乛一丿
燎	丶丿一丿
撂	手丨乛
獠	丿乛一丿
潦	水一丿丶
镣	金一丿
嘹	口一丿丶
瞭	丨乛一丿
寮	丶丶一丿
蓼	草乛丶
尥	一丿丿乛
鹩	一丿丿乛
嫽	未知
髎	未知
钌	金乛丨
蹽	未知
漻	未知
憭	未知
簝	未知
橑	未知
列	一丿丨丨
裂	一丿丶一
猎	丿乛一丨
咧	口一丿乛
烈	一丿丶丶
劣	丨丿乛丿
冽	丶一一丿
趔	土一丿
洌	水一丿乛
鬣	一丨乛乛
捩	手丶乛
埒	土丿丶
躐	口丨乛乛
峛	未知
脟	未知
䴕	未知
林	木木
临	丨丨丿一
琳	一一木木
淋	水木木木
邻	人丶乛丨
麟	丶一丶丿
凛	丶一丶一
拎	手人丶
霖	一丶木木
鳞	丿乛丶丿
吝	丶一口口
躏	口丨草
粼	丶丿乛乛
磷	一丿丶丿
嶙	丨乛丶丿
蔺	草丶丨
赁	人丿贝
懔	丶丶丶一
辚	一乛丶丿
遴	丶丿丶乛
廪	丶一丶一
潾	未知
檩	木丶一丨
璘	未知
啉	口木木木
瞵	丨乛丶丿
膦	月丶丿一
翷	未知
箖	未知
令	人丶乛丶
灵	乛一丶丿
领	人丶一丿
另	口乛丿丿
凌	丶一土
玲	一一人丶
零	一丶人丶
龄	丨一人丶
铃	金人丶
陵	乛丨土
岭	丨乛人丶
菱	草土
伶	人人丶乛
聆	一丨人丶
翎	人丶乛丶
绫	乛乛土
〇	乛乛
羚	丶丿人丶
呤	口人丶乛
苓	草人丶
泠	水人丶乛
棂	木乛一一
瓴	人丶一乛
酃	一丶乛丨
囹	丨乛人丶
鲮	丿乛土
蛉	丨乛人丶
鸰	人丶丿乛
柃	木人丶乛
舲	丿丿人丶
澪	水一丶乛
昤	日人丶
祾	丶乛土
姈	乛丿人丶
㥄	丶丶土
坽	土人丶
流	水丶一乛
刘	丶一丨丨
留	丿乛丨乛
六	丶一丿丶
柳	木丿乛丿
溜	水丿乛丶
琉	一一丶一
榴	木丿乛丶
浏	水丶一丿
瘤	丶一丿乛
硫	一丿丶一
遛	丿乛丶乛
陆	乛丨一一
绺	乛乛丿乛
鎏	水丶金
馏	丿乛丿乛
骝	乛乛丿乛
镏	金丿乛
旒	丶一丿一
镠	金乛丶
锍	金丶一
熘	丶丿丿乛
鹨	乛丶丿乛
飗	未知
瑬	水丶一一
珋	未知
罶	未知
鹠	未知
疁	未知
碌	一丿乛一
龙	一丿乛丿
隆	乛丨丿乛
笼	丿一一丿
拢	手一丿
胧	月一丿乛
珑	一一一丿
咙	口一丿乛
聋	一丿一丨
垄	一丿土
窿	丶丶乛丨
陇	乛丨一丿
泷	水一丿乛
茏	草一丿
眬	丨乛一丿
栊	木一丿乛
砻	一丿一丿
哢	未知
昽	未知
癃	丶一乛丨
漋	未知
弄	一一一丿
楼	木丶丿一
搂	木丶丿一
漏	水乛一丿
髅	丨乛丶丿
露	一丶口丨
陋	乛丨一丨
喽	口丶丿一
娄	丶丿乛丿
篓	丿一丶丿
镂	金丶丿
偻	人丶丿一
蝼	丨乛丶丿
耧	一一丶丿
蒌	草丶丿
瘘	丶一丶丿
嵝	丨乛丶丿
溇	未知
䁖	未知
剅	未知
路	口丨丿乛
鲁	丿乛日
录	乛一水丶
撸	手丿乛
卢	丨一乛一
鹿	丶一一乛
炉	丶丿丶乛
芦	草丶乛
禄	丶乛乛一
虏	丨一乛丿
璐	一一口丨
噜	口丿乛丨
戮	乛丶一乛
颅	丨一一丿
庐	丶一丶乛
漉	水丶一丿
掳	手丨一
辘	一乛丶一
赂	贝丿乛
麓	木一丶一
卤	丨一丨乛
鹭	口丨丿乛
泸	水丨一乛
潞	水口丨丿
橹	木丿乛丨
辂	一乛丿乛
箓	丿一乛一
胪	月丨一乛
鲈	丿乛丨一
轳	一乛丨一
垆	土丨一
渌	水乛一一
逯	乛一丶乛
鸬	丨一丿乛
甪	未知
蕗	未知
舻	丿丿丨一
栌	木丨一乛
簏	丿一丶一
菉	未知
氇	丿一丿乛
僇	未知
琭	未知
镥	金丿乛
勠	未知
稑	未知
绿	乛乛乛一
澛	未知
乱	丿一乛乛
卵	丿乛乛丨
鸾	丶一丿乛
峦	丶一丨乛
挛	丶一手
銮	丶一金
孪	丶一乛丨
栾	丶一木木
滦	水丶一丨
脔	丶一丨乛
娈	丶一乛丿
论	丶乛人丿
伦	人人丿乛
轮	一乛人丿
仑	人丿乛乛
沦	水人丿乛
抡	手人丿
囵	丨乛人丿
罗	丨乛丿乛
洛	水丿乛丶
裸	丶乛丨乛
逻	丨乛丶乛
骆	乛乛丿乛
萝	草丨乛
螺	丨乛丨乛
锣	金丨乛
啰	口丨乛丨
珞	一一丿乛
骡	乛乛丨乛
摞	手丨乛
雒	丿乛人丶
荦	草丿一
箩	丿一丨乛
椤	木丨乛丨
猡	丿乛丨乛
蠃	丶一口月
脶	月口丨乛
漯	水丨乛一
倮	人丨乛一
捋	手丿丶
瘰	丶一丨乛
泺	水丿乛丨
蓏	未知
律	丿丿乛一
率	丶一乛乛
旅	丶一丿一
吕	口口口
缕	乛乛丶丿
侣	人口口口
驴	乛乛丶乛
屡	乛一丶丿
履	乛一丿丿
滤	水丨一乛
虑	丨一丶乛
褛	丶乛丶丿
铝	金口口
闾	丶丨口口
榈	木丶丨乛
氯	丿一乛一
膂	丶一月月
稆	丿一口口
葎	未知
垏	未知
梠	未知
略	丨乛丿乛
掠	手丶一
锊	金丿丶
䂮	未知
圙	未知
吗	口乛乛一
马	乛乛一一
妈	乛丿乛乛
麻	丶一木木
嘛	口丶一丿
骂	口口乛乛
码	一丿乛乛
玛	一一乛乛
抹	手一一
蚂	丨乛乛乛
蟆	丨乛草
犸	丿乛乛乛
杩	木乛乛一
祃	丶乛乛乛
摩	丶一手
买	乛丶丶一
卖	十丶丶
埋	土丨乛
脉	月丶乛乛
麦	一一丿乛
迈	一乛丶乛
霾	一丶丿丶
劢	一乛乛丿
唛	口一一丨
荬	草乛丶
满	水草一
慢	丶丶日
漫	水日丨
曼	日丨乛
蛮	丶一丨乛
瞒	丨乛草
蔓	草日
馒	丿乛日
幔	丨乛日
谩	丶乛日
鳗	丿乛日
缦	乛乛日
嫚	乛丿日
墁	土日
颟	草一丿
螨	丨乛草
鞔	一丨丿乛
镘	金日
鬘	未知
忙	丶丶丶一
芒	草丶一
茫	草水丶
氓	丶一乛一
莽	草一丿
盲	丶一丨乛
蟒	丨乛草
邙	丶一乛丨
漭	水草一
牤	未知
硭	一丿草
尨	未知
牻	未知
厖	未知
杧	未知
毛	丿一一乛
冒	丨乛丨乛
貌	丿丶丿丨
猫	丿乛草
矛	乛丶乛丨
帽	丨乛丨乛
贸	丿乛贝
茂	草一丿
茅	草乛丶
髦	一丨丿一
卯	丿乛乛丨
锚	金草
袤	丶一乛丶
瑁	一一丨乛
懋	木乛丶乛
牦	丿一丿一
铆	金丿乛
昴	日丿乛
耄	十丿一
蟊	乛丶丨乛
峁	丨乛丿乛
旄	丶一丿一
楙	木乛丶乛
泖	水丿乛丿
瞀	乛丶丨乛
茆	草丿乛
蝥	乛丶丨乛
芼	未知
眊	未知
鄚	未知
么	丿乛丶丶
没	水丿乛乛
美	丶丿一丿
每	丿一乛乛
妹	乛丿一一
眉	乛丨丨乛
梅	木丿一乛
媚	乛丿乛丨
魅	丿丨一一
玫	一一丿一
枚	木丿一丿
媒	乛丿一丨
霉	一丶丿一
昧	日一一
煤	丶丿一丨
寐	丶丶乛丨
嵋	丨乛乛丨
莓	草丿一
湄	水乛丨一
袂	丶乛乛一
楣	木乛丨一
酶	一丨丿一
镁	金丶丿
郿	未知
浼	水丿乛丨
鹛	乛丨丿乛
镅	金乛丨
渼	水丶丿
糜	丶一丶丿
媄	乛丿丶丿
瑂	一一乛丨
们	人丶丨乛
门	丶丨乛乛
闷	丶丨丶乛
懑	水丨丶乛
扪	手丶丨
焖	丶丿丶丨
钔	金丶丨
呇	水口
梦	木木丿乛
猛	丿乛乛丨
蒙	草一一
孟	乛丨丨乛
盟	日丨乛
朦	月草丶
萌	草日
懵	丶丶草
檬	木草丶
蜢	丨乛乛丨
勐	乛丨乛丿
虻	丨乛丶一
艨	丿丿草
锰	金乛丨
幪	未知
艋	丿丿乛丨
蠓	丨乛草
瞢	草丨乛
甍	草丨乛
獴	未知
礞	一丿草
㠓	未知
鹲	未知
密	丶丶丨乛
米	丶丿一丨
迷	丶丿丶乛
弥	乛一丿乛
蜜	丶丶丨乛
眯	丨乛丶丿
咪	口丶丿一
谜	丶乛丶丿
觅	丿丶丨乛
靡	丶一丨一
谧	丶乛丶乛
祢	丶乛丿乛
芈	丨一一一
麋	丶一丶丿
弭	乛一一丨
汨	水日日
猕	丿乛乛一
幂	丶乛日
縻	丶一乛乛
蘼	草丶一
醚	一丨丶丿
祕	未知
敉	丶丿丿一
嘧	口丶丶乛
蓂	未知
脒	月丶丿一
洣	未知
醾	未知
面	一丿丨乛
免	丿乛丨乛
勉	丿乛乛丿
绵	乛乛丿丨
眠	丨乛乛一
棉	木丿丨乛
缅	乛乛一丿
冕	日丿乛
腼	月一丿丨
娩	乛丿丿乛
湎	水一丿丨
沔	水一丨乛
渑	水口丨乛
眄	丨乛一丨
丏	一丨乛乛
勔	未知
愐	未知
偭	未知
妙	乛丿丨丿
秒	丿一丨丿
描	手草
苗	草丨乛
庙	丶一丨乛
渺	水丨乛一
瞄	丨乛草
淼	水水水水
喵	口草丨
缈	乛乛丨乛
藐	草丿丶
邈	丿丶丶乛
眇	丨乛丨丿
杪	木丨丿丶
鹋	草丿乛
缪	乛乛乛丶
灭	一丶丿人
蔑	草丨乛
乜	乛乛乛
咩	口丶丿一
篾	丿一丨乛
民	乛一乛一
敏	丿一丿一
抿	手乛一
悯	丶丶丶丨
闵	丶丨丶一
珉	一一乛一
泯	水乛一乛
闽	丶丨丨乛
皿	丨乛丨丨
岷	丨乛乛一
旻	日丶一
缗	乛乛乛一
愍	乛一丶乛
湣	水乛一乛
黾	口丨乛一
忞	丶一丶乛
鳘	丿一丿乛
苠	草乛一
明	日月月
名	丿乛口口
命	人一口乛
鸣	口丿乛丶
冥	丶乛日
铭	金丿乛
茗	草丿乛
瞑	丨乛丶乛
溟	水丶乛
酩	一丨丿乛
暝	日丶乛
螟	丨乛丶乛
洺	水丿乛丶
谬	丶乛乛丶
魔	丶一丿丨
莫	草日
默	丨乛一丿
模	木草
摸	手草
磨	丶一一丿
末	一一丨丿
漠	水草
墨	丨乛土
麽	丶一丿乛
陌	乛丨一丿
寞	丶丶草
蓦	草乛乛
沫	水一一丨
膜	月草
茉	草一一
嬷	乛丿丶一
蘑	草丶一
摹	草手
馍	丿乛草
谟	丶乛草
嫫	乛丿草
秣	丿一一一
殁	一丿丿乛
貊	丿丶一丿
靺	未知
貘	丿丶草
镆	金草
瘼	丶一草
耱	一一丶一
万	一乛丿丿
无	一一丿乛
藦	未知
某	一丨木木
谋	丶乛一丨
眸	丨乛乛丶
牟	乛丶丿一
哞	口乛丶丿
鍪	乛丶金
侔	人乛丶丿
蛑	丨乛乛丶
目	丨乛一一
母	乛乛丶一
木	木木
慕	草丨丶
幕	草丨乛
姆	乛丿乛乛
穆	丿一丿丨
牧	丿一丿一
墓	草土
沐	水木木
暮	草日
拇	手乛乛
牡	丿一土
亩	丶一丨乛
募	草乛丿
睦	丨乛土
苜	草丨乛
呒	口一一丿
钼	金丨乛
毪	丿一乛丶
仫	人丿乛丶
那	乛一乛丨
哪	口乛一一
拿	人一手
娜	乛丿乛一
纳	乛乛丨乛
呐	口丨乛丿
捺	手一丿
衲	丶乛丨乛
钠	金丨乛
肭	月丨乛丿
镎	金人一
乸	未知
南	十丨乛
奶	乛丿乛丿
奈	一丿一一
耐	一丿一丨
乃	乛丿丿
鼐	乛丿丨乛
氖	丿一乛丿
萘	草一丿
艿	草乛丿
柰	木一一丨
佴	人一丨丨
迺	未知
难	乛丶人丶
男	丨乛乛丿
喃	口十丨
楠	木十丨
囡	丨乛乛丿
赧	土乛丨
腩	月十丨
蝻	丨乛十
萳	未知
婻	未知
囊	一丨口丨
囔	口一丨乛
馕	丿乛一丨
攮	手一丨
曩	日丶一
齉	未知
脑	月丶一丿
闹	丶丨丶一
恼	丶丶丶一
挠	手一乛
瑙	一一乛乛
孬	一丿乛丿
呶	口乛丿一
淖	水丨一丨
猱	丿乛乛丶
铙	金一乛
垴	土丶一
蛲	丨乛一乛
硇	一丿丿丨
臑	月一丶乛
峱	未知
呢	口乛一丿
讷	丶乛丨乛
内	丨乛丿丶
馁	丿乛丿丶
嫩	乛丿一丨
恁	人丿丶乛
能	乛丶丿乛
你	人丿乛丨
尼	乛一丿乛
妮	乛丿乛一
泥	水乛一丿
逆	丶丿丶乛
拟	手乛丶
腻	月一一丨
倪	人丿丨一
霓	一丶丿丨
匿	一草一
溺	水乛一乛
昵	日乛一
睨	丨乛丿丨
旎	丶一丿一
怩	丶丶乛一
猊	丿乛丿丨
鲵	丿乛丿丨
伲	人乛一丿
坭	土乛一
铌	金乛一
麑	未知
薿	未知
年	丿一一丨
念	人丶丶乛
黏	丿一丨一
拈	手丨一
捻	手人丶
碾	一丿乛一
撵	手一一
蔫	草一丨
廿	一丨丨一
辇	一一一乛
鲇	丿乛丨一
埝	土人丶
粘	丶丿丨一
娘	乛丿丶乛
酿	一丨丶乛
鸟	丿乛丶乛
尿	乛一水水
袅	丿乛丶一
茑	草丿乛
脲	月乛一丿
捏	手日
聂	一丨乛丶
孽	草丿丨
涅	水日
蹑	口丨一丨
嗫	口一丨丨
啮	口丨一丨
臬	丿丨木木
镊	金一丨
镍	金丿丨
蘖	草丿丨
颞	一丨一丿
糵	未知
陧	乛丨日
嵲	未知
菍	未知
您	人丿丶乛
宁	丶丶一丨
凝	丶一丿乛
狞	丿乛丶丶
拧	手丶丶
柠	木丶丶乛
咛	口丶丶乛
泞	水丶丶乛
佞	人一一乛
甯	丶丶丶乛
苧	未知
聍	一丨丶丶
牛	丿一一丨
扭	手乛丨
纽	乛乛乛丨
妞	乛丿乛丨
钮	金乛丨
忸	丶丶乛丨
狃	丿乛乛丨
农	丶乛丿乛
浓	水丶乛丿
哝	口丶乛丿
侬	人丶乛丿
脓	月丶乛丿
秾	未知
耨	一一一丿
怒	乛丿丶乛
努	乛丿乛丿
奴	乛丿乛丶
弩	乛丿乛一
驽	乛丿乛乛
孥	乛丿乛丨
傉	未知
胬	乛丿丨乛
砮	未知
笯	未知
暖	日丿丶
诺	丶乛草
挪	手乛一
懦	丶丶一丶
喏	口草一
糯	丶丿一丶
傩	人乛丶人
搦	手乛一
锘	金草
女	乛丿一一
钕	金乛丿
恧	一丿丶乛
衄	丿丨乛丨
虐	丨一一乛
疟	丶一一乛
噢	口丿丨乛
喔	口乛一丿
欧	一乛丿乛
偶	人丨乛一
呕	口一丿丶
殴	一丿丿乛
鸥	一丿丿乛
藕	草一一
区	一丿丶乛
怄	丶丶一丿
瓯	一丿一乛
讴	丶乛一丿
沤	水一丿丶
耦	一一丨乛
怕	丶丶丿丨
爬	丿丿乛丨
帕	丨乛丿丨
啪	口手丿
趴	口丨丿丶
琶	一一乛丨
葩	草丿丨
杷	木乛丨一
筢	丿一手
舥	未知
潖	未知
派	水丿丿丿
排	手丨一
拍	手丿丨
牌	丿丨丿丨
徘	丿丿丨一
湃	水丿一一
俳	人丨一一
哌	口丿丿丿
簰	未知
蒎	草水丿
迫	丿丨丶乛
盘	丿丿丨乛
判	丶丿丨丨
叛	丶丿丿丿
盼	丨乛丿丶
潘	水丿丶丿
攀	木丿一丿
畔	丨乛丶丿
蹒	口丨草
磐	丿丿一丿
蟠	丨乛丿丶
槃	丿丿木木
爿	乛丨一丿
泮	水丶丿一
袢	丶乛丶丿
磻	一丿丿丶
襻	丶乛木丿
胖	月丶丿一
旁	丶一丶一
庞	丶一一丿
彷	丿丿丶一
乓	丿丨丶丶
螃	丨乛丶一
滂	水丶一丶
逄	丿乛丶乛
雱	未知
耪	一一丶一
鳑	丿乛丶一
跑	口丨丿乛
泡	水丿乛乛
抛	手丿乛
袍	丶乛丿乛
咆	口丿乛乛
庖	丶一丿乛
狍	丿乛丿乛
疱	丶一丿乛
匏	一丿丿乛
脬	月丿丶丶
陪	乛丨丶一
配	一丨乛一
佩	人丿乛一
培	土丶一
赔	贝丶一
裴	丨一丶一
沛	水一丨乛
呸	口一丿丨
胚	月一丿丨
帔	丨乛乛丿
